fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas,engagement_rate,total_interactions,likes_ratio,retweets_ratio,log_vistas,log_total_interactions,cluster_kmeans_elbow,cluster_kmeans_silhouette,cluster_dbscan
2025-06-13 00:00:00,"📅 Olvídate del viernes 13.​ ​ Con HOLACambio$ desde tu BanBif App:​ ​ ✅ Cambia dólares a soles (y viceversa 🔁)​ ✅ Rápido, seguro y 100% digital​ ✅ Un tipo de cambio preferencial​ 📍Más información aquí: banbif.com.pe/bancadigital​ ​ #Banco #BanBif #HolaCambio$",1,0,1,0,285,0.007017543859649123,2,0.5,0.0,5.655991810819852,1.0986122886681098,1,4,0
2025-07-07 00:00:00,"Tu familia no es un cajero automático, pero nosotros sí podemos ayudarte.💸 Solicita tu Préstamo Efectivo en BanBif y accede a ese dinero que necesitas, al instante. 👉 banbif.com.pe/Home/Personas/…",0,0,0,0,31,0.0,0,0.0,0.0,3.4657359027997265,0.0,0,0,0
2025-07-09 18:29:07,"🎁 Cuando le compras un regalo a tu bestie… pero eres cero buena guardando secretos.😂 Así como ella no puede ocultarlo, nosotros tampoco. Con nuestra Cuenta Ahorro Digital, no hay cobros escondidos. 👉 banbif.com.pe/Personas/Cuent…",0,0,0,0,10,0.0,0,0.0,0.0,2.3978952727983707,0.0,0,0,0
2025-06-23 00:00:00,"😔 Hay cosas que no vuelven, que tu plata no sea una de ellas. ​ ​ 📲 Usa Plin desde tu BanBif App.​ ​ 📍Conoce más en: banbif.com.pe/bancadigital​ ​ #Banco #BanBif",0,0,1,0,165,0.006060606060606061,1,1.0,0.0,5.111987788356544,0.6931471805599453,1,1,0
2025-07-09 00:00:00,"🎁 Cuando le compras un regalo a tu bestie… pero eres cero buena guardando secretos.😂 Así como ella no puede ocultarlo, nosotros tampoco. Con nuestra Cuenta Ahorro Digital, no hay cobros escondidos. 👉 banbif.com.pe/Personas/Cuent…",0,0,0,0,25,0.0,0,0.0,0.0,3.258096538021482,0.0,0,0,0
2025-07-09 17:19:32,"🎁 Cuando le compras un regalo a tu bestie… pero eres cero buena guardando secretos.😂 Así como ella no puede ocultarlo, nosotros tampoco. Con nuestra Cuenta Ahorro Digital, no hay cobros escondidos. 👉 banbif.com.pe/Personas/Cuent…",0,0,0,0,7,0.0,0,0.0,0.0,2.0794415416798357,0.0,0,0,0
2025-06-07 00:00:00,"Y para ti, ¿qué significa OHANA? 💙📷 Bueno, tal vez no sea hazme un PLIN, pero no hay nada mejor que Plinear de manera simple y rápida📷📷Recuerda que desde tu BanBif App puedes plinear en cualquier momento. 📷 Conoce más aquí 📷 banbif.com.pe/plin👉",0,0,0,0,273,0.0,0,0.0,0.0,5.6131281063880705,0.0,1,4,0
2025-07-03 00:00:00,"En BanBif creemos en un mundo donde ningún perrito esté solo. Por eso, fuimos parte de la Patatón 2025, una jornada llena de amor y esperanza para los peluditos que buscan familia.🐶✨ 👉 banbif.com.pe/Personas/Fondo…",1,0,0,0,55,0.01818181818181818,1,0.0,0.0,4.02535169073515,0.6931471805599453,2,2,0
2025-06-24 00:00:00,"Con el programa de beneficios #ClubHola, consigue descuentos exclusivos en tus marcas favoritas como Crepier y disfruta de muchos más. Además, accede gratis al contenido digital de El Comercio. ¡Y repite las veces que quieras! Más info en 👉 clubhola.pe",0,0,0,0,37,0.0,0,0.0,0.0,3.6375861597263857,0.0,0,0,0
2025-06-26 00:00:00,"Encontrar tu match perfecto es más fácil cuando se trata de ahorrar ✨🌺​ Abre tu Dúo Genial en BanBif y podrías ganar S/50,000, acceder a más de 100 descuentos exclusivos con ClubHOLA, y una tasa de 4.3% TREA en soles.​ 👉 banbif.com.pe/duo-genial",0,0,0,0,50,0.0,0,0.0,0.0,3.9318256327243257,0.0,0,0,0
