fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas,engagement_rate,total_interactions,likes_ratio,retweets_ratio,log_vistas,log_total_interactions,cluster_kmeans_elbow,cluster_kmeans_silhouette,cluster_dbscan
2025-05-07,"Gracias a Sumar Juntos, un proyecto de Banco Pichincha, cada vez más comunidades se benefician de la instalación de sistemas de agua potable. Esto contribuye a una mejor nutrición de los niños y a una mayor asistencia a escuelas en las zonas rurales del país.",0,19,150,6,443000,0.00039503386004514674,175,0.8571428571428571,0.10857142857142857,13.001327306361068,5.170483995038151,2,2,0
2025-05-08,"100 años de esfuerzo. 💛 100 hinchas que festejaron el centenario de @BarcelonaSC como se merece: en la cancha del 🏟️ estadio Banco Pichincha, en casa, siendo protagonistas de la celebración. Porque ser torero, es ser parte de una pasión que no se apaga. 🔥",16,14,81,3,47000,0.002425531914893617,114,0.7105263157894737,0.12280701754385964,10.757924157061597,4.74493212836325,0,0,0
2025-05-09,¡Anahí Ortiz es una de las mejores ajedrecistas del continente! 👏 ♟️ Detrás de cada una de sus partidas hay años de sacrificio y perseverancia. Hoy celebramos su segundo lugar en el Campeonato Continental Femenino de Ajedrez de las Américas.🥈🇪🇨 #ElEsfuerzoTeDefine,0,10,52,0,21000,0.0029523809523809524,62,0.8387096774193549,0.16129032258064516,9.952325334619427,4.143134726391533,0,0,0
2025-05-30,En menos de 1 minuto puedes enterarte de #LoNuevoEnBancoPichincha 💛 💰 Ahorrar a tu ritmo es más fácil gracias a Banca Móvil. 👩🏻‍💼 Seguimos apostando por el emprendimiento femenino. 🏧 Inauguramos un nuevo cajero en Galápagos.,0,2,23,4,81000,0.0003580246913580247,29,0.7931034482758621,0.06896551724137931,11.302216779257382,3.4011973816621555,0,0,0
2025-06-03,"Hay jugadores en la cancha… y tú. El número 12. ⚽ El que vibra y sufre cada partido. El que nunca abandona, ni en la gloria ni en la derrota. Has heredado esta pasión y la llevas como bandera. Porque darlo todo por tu equipo, te define. 💛 @BarcelonaSC @LDU_Oficial @UCatolicaEC",0,28,324,12,791000,0.0004601769911504425,364,0.8901098901098901,0.07692307692307693,13.581054510971494,5.8998973535824915,2,2,0
2025-06-30,¿Tienes 40 segundos? Entérate de #LoNuevoEnBancoPichincha 💛 📲Pagar o cobrar con tu QR es ahora más fácil. 🎓Conoce la mejor iniciativa para empezar tu carrera laboral. 🏫 Voluntariado para apoyar a comunidad de Cayambe.,0,2,9,3,12000,0.0011666666666666668,14,0.6428571428571429,0.14285714285714285,9.392745258631441,2.70805020110221,0,0,0
2025-05-15,¡Felicidades @UCatolicaEC! 🩵 Hoy nos unimos a la celebración de los hinchas del #TrencitoAzul que generación tras generación han alentado a la #Chatoleí en estos 62 años. 🎉,0,12,88,2,72000,0.0014166666666666668,102,0.8627450980392157,0.11764705882352941,11.184435286790631,4.634728988229636,0,0,0
2025-06-19,"🇪🇨 En Ecuador, 6 de cada 10 familias de zonas rurales aún no tienen acceso a agua potable. Conseguirla implica recorrer largas distancias o pagar altos costos.💧 Por eso, Banco Pichincha impulsa Sumar Juntos, iniciativa que ya ha cambiado la vida a más de 26 mil personas. 💛",0,26,124,9,157000,0.0010127388535031848,159,0.779874213836478,0.16352201257861634,11.964007453736912,5.075173815233827,0,0,0
2025-06-16,"Hoy celebramos el esfuerzo de quienes, a pesar de la distancia, siempre están presentes. ✨ Porque detrás de cada envío que realizan, hay más que dinero… hay medicinas, educación, sueños y, sobre todo, ese amor de familia que nunca se pierde. 💛 #DíaInternacionalDeLasRemesas",0,3,29,3,57000,0.0006140350877192983,35,0.8285714285714286,0.08571428571428572,10.950824090522445,3.58351893845611,0,0,0
2025-05-09,"Todo empezó con un dibujo, un desayuno, un regalo hecho con amor. 🥰 Lo que parecía un juego, hoy es un sueño cumplido. ✨ Porque confianza es creer, incluso cuando nadie más lo hace… y tú, mamá, confiaste siempre. 💛 ¡Feliz día! 👩🏻‍🍼 #diadelamadre",0,3,25,2,36000,0.0008333333333333334,30,0.8333333333333334,0.1,10.491301994830229,3.4339872044851463,0,0,0
